Onset_b,Duration_b,Channel_MIDI,Pitch_MIDI,Vel_MIDI,Onset_s,Duration_s,Time_signature,T_sig_num,T_sig_den,Key_5th_num,Key_nominal,Mode,Tempo
0.0,0.9979166666666667,1.0,83.0,49.0,0.0,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
1.0,0.9979166666666667,1.0,79.0,49.0,0.666667,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
2.0,0.9979166666666667,1.0,83.0,49.0,1.333334,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
3.0,0.9979166666666667,1.0,79.0,49.0,2.000001,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
4.0,0.9979166666666667,1.0,81.0,49.0,2.666668,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
5.0,0.9979166666666667,1.0,76.0,49.0,3.333335,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
6.0,0.9979166666666667,1.0,81.0,49.0,4.000002,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
7.0,0.9979166666666667,1.0,76.0,49.0,4.666669,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
8.0,0.9979166666666667,1.0,78.0,49.0,5.333336,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
9.0,0.9979166666666667,1.0,74.0,49.0,6.000003,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
10.0,1.9979166666666666,1.0,78.0,49.0,6.66667,1.3319451104166666,4/4,4,4,1,G,major,89.9999550000225
11.0,0.9979166666666667,1.0,67.0,49.0,7.333337,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
12.0,0.9979166666666667,1.0,76.0,49.0,8.000004,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
13.0,0.9979166666666667,1.0,72.0,49.0,8.666671,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
14.0,1.9979166666666666,1.0,76.0,49.0,9.333338,1.3319451104166666,4/4,4,4,1,G,major,89.9999550000225
15.0,0.9979166666666667,1.0,62.0,49.0,10.000005,0.6652781104166667,4/4,4,4,1,G,major,89.9999550000225
